configuration,dcache,icache,area,executionCycles,energy,timing,cyc,stall,bun,syl,nop,iacc,imiss,dracc,drmiss,dwacc,dwmiss
1000:1000:8:8k:8k,8k,8k,7162.0,2278914,6.17,True,521866,85294,393419,3129659,1407639,420184,898,89163,3980,19715,13683
11000000:2:32k:8k,8k,32k,6665.8,2340021,10.13,True,1393372,175510,1050364,5314286,541887,1217874,333,265921,15597,49278,36802
1111:1111:4:4k:4k,4k,4k,7528.9,2213038,11.09,True,507323,93422,358268,2055703,324211,326882,621,85513,5711,18548,13920
11000000:1000:8:4k:4k,4k,4k,7982.499999999999,1743962,6.44,True,839774,194736,576968,3440848,1185416,645093,896,110632,12158,26359,20242
11111111:1100:8:2k:2k,2k,2k,8005.9,1651212,8.23,True,912373,319134,525168,3026424,761557,593293,7838,110633,16187,26361,20300
11000000:4:2k:2k,2k,2k,6082.000000000001,2772586,7.13,True,1683045,453532,1050483,6254745,1482040,1229552,13642,265933,31852,49303,37081
11000000:1000:8:2k:2k,2k,2k,8111.499999999999,1901357,7.64,True,957070,312023,576974,3440872,1185424,645099,7840,110633,16187,26361,20299
11111111:1000:4:4k:4k,4k,4k,8421.0,1523930,8.76,True,795323,187901,525158,2752103,487256,607469,736,110632,12158,26359,20248
11000000:4:8k:8k,8k,8k,6385.6,2367330,7.60,True,1408687,179226,1050429,6254515,1481951,1229489,604,265926,15597,49292,36808
11000000:2:2k:2k,2k,2k,5881.500000000001,2679425,7.32,True,1626708,408787,1050418,5314465,541925,1217933,10071,265928,31852,49289,37076
11100000:1000:2:8k:4k,4k,8k,8466.2,1631246,8.98,True,823950,170669,553404,2445447,175917,653298,384,110631,12158,26356,20242
1100:1100:8:4k:4k,4k,4k,7848.0,2362887,8.92,True,579570,185033,351378,2790931,1059385,378793,6083,92652,5900,19223,13764
11000000:1000:4:8k:4k,4k,8k,8784.800000000001,1766981,10.00,True,838346,179767,576964,2902810,647381,658614,582,110632,12158,26359,20246
1000:1000:8:4k:4k,4k,4k,7647.5,2573360,6.30,True,621474,184567,393748,3130048,1407913,421055,6053,92404,5909,19165,13742
1000:1000:4:8k:4k,4k,8k,7097.0,2389763,7.90,True,539186,87621,391218,2357048,635016,368311,290,85702,5717,18761,14029
1100:1100:8:8k:8k,8k,8k,7449.5,2066749,8.18,True,479608,85384,351072,2790568,1059128,377876,897,88398,3995,19427,13677
11111111:1000:4:8k:8k,8k,8k,8708.0,1465402,9.02,True,778115,170681,525158,2752103,487255,607469,582,110632,10029,26359,20188
1100:1100:2:2k:2k,2k,2k,7491.0,2459058,9.99,True,587697,163914,348806,1798904,67516,373882,2990,85511,9306,18877,14067
11000000:1000:8:8k:2k,2k,8k,8061.799999999999,1842601,7.11,True,865521,220476,576967,3440848,1185415,645093,623,110632,16187,26359,20308
1111:1111:1100:4:2k:2k,2k,2k,9193.300000000001,1759810,10.29,True,666075,247112,373838,2014958,307747,268047,7374,39232,4331,18079,12095
11000000:1000:4:4k:2k,2k,4k,8036.999999999999,1890837,9.03,True,875405,216836,576964,2902810,647382,658614,736,110632,16187,26359,20308
11100000:1000:4:2k:2k,2k,2k,8109.9,1798557,5.78,True,935441,304466,553422,2808642,539070,631023,7710,110633,16191,26360,20304
1111:1111:4:8k:8k,8k,8k,7911.9,2142323,12.33,True,488726,74838,358250,2055634,324183,394889,288,86533,3909,18832,13882
11111111:1100:2:4k:4k,4k,4k,8285.4,1498031,8.63,True,800299,175276,525147,2445447,180627,625040,401,110631,12158,26356,20244
1111:1111:1100:2:4k:2k,2k,4k,9131.300000000001,1749470,10.45,True,592013,149171,373823,1771891,64714,413696,313,38564,4294,18117,12164
11000000:1100:2:8k:4k,4k,8k,8450.7,1746188,9.37,True,845652,168822,576953,2501962,246561,676846,384,110631,12158,26356,20242
11000000:1000:2:2k:2k,2k,2k,7994.499999999999,1901333,9.28,True,971302,294471,576962,2501991,246566,676856,8245,110632,16197,26358,20310
11100000:1000:8:32k:32k,32k,32k,14902.2,1454269,18.84,True,736500,114994,553410,3252425,982884,621535,546,110631,2582,26358,18670
1000:1000:1000:8:16k:16k,16k,16k,13318.400000000001,1609184,9.66,True,544726,97669,407458,2750805,1053024,301465,482,40509,3325,18114,12016
11000000:2:4k:4k,4k,4k,5993.500000000001,2388736,8.64,True,1423079,205208,1050373,5314316,541893,1217883,409,265922,20090,49280,36936
11100000:1000:2:16k:16k,16k,16k,12449.9,1541197,12.01,True,797687,144405,553404,2445447,175917,653298,363,110631,8960,26356,19351
1000:1000:1000:8:4k:4k,4k,4k,9324.500000000002,1739407,7.86,True,585217,137766,407860,2750856,1053053,301524,979,75360,6565,18027,11999
1000:1000:2:8k:4k,4k,8k,7624.5,2396485,10.65,True,546460,84996,391182,1883650,161704,359508,175,89638,5778,18437,14054
11111111:1000:8:2k:2k,2k,2k,8110.0,1651219,8.08,True,912398,319158,525168,3026424,761557,593293,7838,110633,16187,26361,20300
1100:1100:4:2k:2k,2k,2k,7220.5,2473045,10.08,True,589955,185485,348837,2055658,324194,336457,5086,90252,9607,18732,13986
11000000:1000:2:2k:2k,2k,2k,7994.499999999999,1901333,9.28,True,971302,294471,576962,2501991,246566,676856,8245,110632,16197,26358,20310
11100000:1000:4:256:256,256,256,7959.4,20043725,5.62,True,7687482,7056505,553458,2808786,539123,631062,349914,110637,62233,26367,20871
11111111:1000:2:8k:8k,8k,8k,8640.0,1440271,8.91,True,783952,158930,525147,2445447,180627,625040,384,110631,10029,26356,20175
11000000:1100:8:4k:4k,4k,4k,8319.4,1744243,7.86,True,839831,194792,576968,3440848,1185416,645093,896,110632,12158,26359,20242
11000000:4:32k:16k,16k,32k,7956.3,2333022,14.21,True,1388448,158976,1050429,6254515,1481951,1229489,488,265926,12538,49292,36771
11000000:1100:4:8k:4k,4k,8k,8362.2,1767375,9.64,True,838448,179869,576964,2902810,647381,658614,582,110632,12158,26359,20248
11000000:1000:4:2k:2k,2k,2k,8699.0,1933661,9.77,True,960213,301640,576970,2902834,647391,658620,7711,110633,16187,26360,20303
1111:1111:8:2k:2k,2k,2k,7157.9,2873484,8.54,True,746618,342544,360915,2866310,1134756,316819,12437,88051,9534,18230,13814
1111:1111:1100:8:8k:8k,8k,8k,10294.199999999999,1491085,8.88,True,527584,113263,374723,2487068,779868,320340,652,39983,3409,18052,11971
1111:1111:2:8k:8k,8k,8k,8049.9,2221145,12.56,True,510850,72959,358211,1780029,48670,340569,177,92102,3942,19210,13790
11111111:1100:4:4k:4k,4k,4k,8402.9,1523879,8.87,True,795183,187761,525158,2752103,487256,607469,736,110632,12158,26359,20247
11000000:1000:2:8k:8k,8k,8k,8931.5,1691162,9.46,True,831065,154235,576953,2501962,246561,676846,384,110631,10029,26356,20174
1111:1111:1100:2:2k:2k,2k,2k,9492.800000000001,1788383,10.29,True,686452,243640,373826,1771902,64716,186067,8149,38565,4294,18104,12146
11000000:1000:2:4k:2k,2k,4k,8043.499999999999,1865519,9.28,True,879556,202727,576953,2501962,246561,676846,401,110631,16197,26356,20309
11100000:1000:2:2k:2k,2k,2k,8280.4,1786344,8.82,True,951423,298137,553414,2445479,175924,653311,8247,110632,16197,26356,20308
